               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1067,            0.022637,                   0,             0.03396,            0.050463,            0.022604,           0.0050236,            0.071478,            0.012312,                   0,            0.070732,            0.003252,            0.003252
                   1,            0.085503,            0.026653,                   0,             0.26942,             0.37736,             0.22506,            0.076977,             0.05682,            0.010494,                   0,            0.040645,           0.0064984,           0.0064984
                   2,             0.07666,            0.026331,                   0,             0.33571,             0.20755,             0.16284,            0.061605,            0.074262,            0.010129,                   0,             0.01047,           0.0096568,           0.0096568
                   3,            0.071886,            0.024047,                   0,               0.236,              0.4717,             0.18994,            0.056465,            0.061627,            0.010411,                   0,            0.009604,            0.009604,            0.009604
                   4,            0.066457,            0.024341,                   0,             0.55487,             0.60377,               0.552,              0.2183,            0.048442,           0.0098159,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.058458,            0.022851,                   0,             0.44484,             0.58491,             0.47845,             0.17088,            0.051824,           0.0087332,                   0,            0.009472,            0.009472,            0.009472
                   6,            0.054092,            0.021804,                   0,              0.6932,             0.59694,             0.72456,              0.3593,            0.039726,           0.0083545,                   0,             0.00934,             0.00934,             0.00934
                   7,            0.050411,            0.020891,                   0,             0.64071,             0.71698,             0.67495,             0.33289,            0.041209,           0.0084823,                   0,            0.009208,            0.009208,            0.009208
                   8,            0.048204,            0.020006,                   0,             0.79466,             0.84906,              0.8732,             0.53868,            0.030573,           0.0073076,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.044864,            0.019295,                   0,             0.84333,             0.84906,             0.88143,             0.52233,            0.031907,           0.0066802,                   0,            0.008944,            0.008944,            0.008944
                  10,            0.043842,            0.017684,                   0,             0.77966,             0.75472,             0.82383,             0.45544,             0.03178,           0.0076827,                   0,            0.008812,            0.008812,            0.008812
                  11,            0.041378,             0.01705,                   0,             0.85345,             0.81132,             0.86098,             0.44622,            0.031432,           0.0072088,                   0,             0.00868,             0.00868,             0.00868
                  12,            0.040016,            0.016794,                   0,             0.74019,             0.86012,             0.78951,             0.43543,              0.0357,            0.006216,                   0,            0.008548,            0.008548,            0.008548
                  13,            0.040238,            0.016641,                   0,             0.93459,             0.88679,             0.94353,              0.5362,            0.028811,           0.0056656,                   0,            0.008416,            0.008416,            0.008416
                  14,            0.038359,            0.015885,                   0,             0.91349,             0.79705,             0.92164,             0.53601,            0.033744,            0.005522,                   0,            0.008284,            0.008284,            0.008284
