               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10679,            0.022621,                   0,            0.024016,            0.037736,            0.021545,           0.0051716,            0.072359,            0.012294,                   0,            0.070732,            0.003252,            0.003252
                   1,            0.085339,             0.02659,                   0,             0.24419,             0.32925,             0.19255,            0.059395,            0.056689,            0.010514,                   0,            0.040667,           0.0065202,           0.0065202
                   2,             0.07601,            0.025859,                   0,             0.50169,             0.11321,             0.12457,            0.049674,            0.080205,            0.011626,                   0,            0.010535,           0.0097223,           0.0097223
                   3,            0.071016,            0.024038,                   0,             0.27856,             0.56604,             0.26526,            0.094333,            0.051924,            0.010055,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.066793,            0.024125,                   0,             0.70901,             0.58491,             0.66275,             0.29056,            0.040159,           0.0093377,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.058938,            0.022417,                   0,             0.36238,             0.81132,             0.50272,             0.22694,            0.046019,           0.0097421,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.052973,            0.021578,                   0,               0.651,             0.56317,             0.65762,             0.26892,            0.046748,           0.0092145,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.053459,            0.020664,                   0,             0.70099,             0.88679,             0.85585,             0.43934,            0.034611,           0.0069731,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.047871,            0.019714,                   0,             0.77577,             0.84906,             0.86083,              0.4319,            0.031053,           0.0070235,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.045498,             0.01923,                   0,             0.73083,             0.87094,             0.83078,             0.45905,            0.035646,           0.0062156,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.044002,            0.018041,                   0,             0.75893,             0.89103,             0.77802,             0.37569,            0.037347,           0.0069329,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041613,            0.016914,                   0,             0.66034,             0.88679,             0.76552,             0.40999,            0.030946,           0.0064378,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.040894,            0.016652,                   0,             0.94161,             0.91284,             0.95308,             0.54544,            0.029834,           0.0057724,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.038743,            0.016644,                   0,             0.93957,             0.92453,             0.95151,             0.62495,            0.028903,           0.0055086,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038313,            0.015636,                   0,             0.97996,             0.92287,             0.95669,             0.48168,            0.035659,           0.0055874,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038434,            0.015739,                   0,              0.9467,             0.86792,             0.93494,             0.55038,             0.02463,             0.00589,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.03655,            0.014999,                   0,             0.94138,             0.90913,             0.94752,             0.55739,            0.029376,           0.0054162,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.034819,            0.014745,                   0,             0.96088,             0.92691,             0.96882,             0.63311,            0.026104,           0.0054009,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.033774,            0.015245,                   0,             0.95587,             0.92453,              0.9705,             0.69122,            0.022931,           0.0052162,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.034727,            0.015127,                   0,             0.95305,             0.88679,             0.95106,             0.58097,            0.026855,           0.0056322,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.035344,            0.014664,                   0,                   1,             0.90414,             0.96524,             0.70842,            0.023342,           0.0052112,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.033381,            0.014915,                   0,             0.99111,             0.90566,              0.9584,              0.6761,            0.022899,           0.0051384,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.031971,            0.013599,                   0,             0.96151,             0.94272,             0.97554,             0.70083,            0.021621,           0.0050431,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.030746,            0.013089,                   0,             0.94325,             0.94084,             0.94996,              0.6603,            0.021254,           0.0052931,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031041,            0.013832,                   0,             0.98034,              0.9434,             0.96352,             0.65652,            0.024317,           0.0051621,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.030734,            0.013644,                   0,             0.98028,             0.93823,             0.95626,             0.64107,            0.023752,           0.0049927,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.029737,            0.012847,                   0,             0.94333,             0.94228,             0.97197,             0.64488,             0.02183,           0.0049905,                   0,            0.007525,            0.007525,            0.007525
