               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096198,              0.0237,                   0,             0.45312,             0.32075,              0.2657,            0.070024,            0.059888,            0.011281,                   0,            0.070732,            0.003252,            0.003252
                   1,            0.072436,            0.026711,                   0,              0.4804,             0.45357,             0.44212,             0.13736,            0.055454,           0.0098594,                   0,            0.040645,           0.0064984,           0.0064984
                   2,            0.068743,            0.023666,                   0,             0.51994,             0.32075,             0.36238,             0.11227,            0.068338,           0.0075482,                   0,             0.01047,           0.0096568,           0.0096568
                   3,            0.065839,            0.022143,                   0,             0.46874,             0.68258,             0.56713,             0.24407,            0.048747,           0.0074224,                   0,            0.009604,            0.009604,            0.009604
                   4,            0.057191,            0.022613,                   0,             0.75905,             0.67925,             0.79075,             0.42707,            0.038407,           0.0070689,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.051953,            0.020242,                   0,             0.67142,             0.81132,             0.79908,             0.35569,              0.0369,           0.0059646,                   0,            0.009472,            0.009472,            0.009472
                   6,            0.045907,            0.018699,                   0,              0.7028,             0.89239,             0.81764,             0.46241,            0.045245,            0.005644,                   0,             0.00934,             0.00934,             0.00934
                   7,            0.044807,            0.017512,                   0,             0.95926,             0.88679,             0.96307,             0.53276,            0.032979,            0.005258,                   0,            0.009208,            0.009208,            0.009208
                   8,            0.042015,            0.016568,                   0,             0.87098,             0.89165,             0.91039,             0.66072,            0.029566,           0.0051448,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.039353,            0.015859,                   0,             0.98028,             0.93818,              0.9634,             0.63541,            0.027519,           0.0049355,                   0,            0.008944,            0.008944,            0.008944
                  10,            0.036651,            0.014569,                   0,              0.9791,             0.88385,             0.94841,             0.67319,            0.027045,           0.0049705,                   0,            0.008812,            0.008812,            0.008812
                  11,            0.035117,            0.013348,                   0,                   1,             0.93709,             0.97034,              0.7535,             0.02356,           0.0048897,                   0,             0.00868,             0.00868,             0.00868
                  12,            0.033671,            0.013304,                   0,             0.96046,             0.91669,             0.95766,             0.64671,             0.02562,           0.0048251,                   0,            0.008548,            0.008548,            0.008548
                  13,            0.033266,            0.013354,                   0,             0.97696,              0.9434,             0.95295,             0.72831,            0.027191,           0.0048618,                   0,            0.008416,            0.008416,            0.008416
                  14,            0.032822,            0.012726,                   0,             0.96149,              0.9422,              0.9542,             0.70486,            0.025411,            0.004742,                   0,            0.008284,            0.008284,            0.008284
                  15,            0.031918,            0.012679,                   0,             0.99519,              0.9434,             0.95849,             0.67131,            0.022787,           0.0049037,                   0,            0.008152,            0.008152,            0.008152
                  16,            0.030216,            0.012195,                   0,             0.99504,              0.9434,             0.96354,             0.67139,              0.0253,           0.0046923,                   0,             0.00802,             0.00802,             0.00802
                  17,            0.029042,            0.011948,                   0,             0.97497,              0.9434,             0.97035,             0.74987,            0.019412,           0.0045385,                   0,            0.007888,            0.007888,            0.007888
                  18,            0.027559,            0.012071,                   0,             0.97596,             0.92453,             0.93828,             0.73832,            0.022347,            0.004869,                   0,            0.007756,            0.007756,            0.007756
                  19,            0.028177,            0.012175,                   0,             0.98033,              0.9406,              0.9424,             0.76617,            0.018018,           0.0047702,                   0,            0.007624,            0.007624,            0.007624
                  20,            0.026987,            0.011887,                   0,             0.97158,              0.9434,             0.96762,             0.70868,            0.020496,           0.0047688,                   0,            0.007492,            0.007492,            0.007492
                  21,            0.027003,            0.012181,                   0,             0.97849,              0.9434,             0.94729,             0.77058,            0.018549,           0.0048045,                   0,             0.00736,             0.00736,             0.00736
                  22,            0.026138,            0.011048,                   0,             0.97642,              0.9434,             0.94603,               0.688,            0.019006,           0.0047946,                   0,            0.007228,            0.007228,            0.007228
                  23,            0.025641,            0.010755,                   0,             0.97389,              0.9434,             0.97485,             0.74642,            0.017719,           0.0046192,                   0,            0.007096,            0.007096,            0.007096
                  24,            0.025523,            0.011111,                   0,              0.9913,             0.96226,             0.98394,             0.75472,            0.018444,           0.0045421,                   0,            0.006964,            0.006964,            0.006964
                  25,            0.024691,            0.010903,                   0,              0.9805,             0.94893,              0.9861,             0.72697,            0.019661,           0.0045751,                   0,            0.006832,            0.006832,            0.006832
                  26,            0.024647,            0.010291,                   0,             0.97634,              0.9434,             0.95465,              0.7527,            0.018121,           0.0046395,                   0,              0.0067,              0.0067,              0.0067
                  27,            0.024434,            0.010267,                   0,             0.97756,              0.9434,             0.94866,              0.7628,            0.021887,           0.0046069,                   0,            0.006568,            0.006568,            0.006568
                  28,            0.025287,            0.011052,                   0,             0.97938,              0.9434,              0.9571,              0.7606,            0.019897,           0.0040796,                   0,            0.006436,            0.006436,            0.006436
                  29,            0.023989,            0.011035,                   0,             0.97844,              0.9434,             0.97764,              0.7878,            0.018097,           0.0040657,                   0,            0.006304,            0.006304,            0.006304
                  30,            0.023305,            0.010674,                   0,              0.9984,             0.96226,             0.97368,             0.77335,            0.018789,           0.0042783,                   0,            0.006172,            0.006172,            0.006172
                  31,            0.023162,            0.010202,                   0,             0.99181,              0.9434,             0.98212,             0.76721,            0.018219,           0.0043134,                   0,             0.00604,             0.00604,             0.00604
                  32,            0.021848,            0.010116,                   0,             0.97999,              0.9242,             0.95976,              0.7875,            0.018067,           0.0044903,                   0,            0.005908,            0.005908,            0.005908
                  33,             0.02112,           0.0097814,                   0,             0.97811,              0.9434,             0.94808,             0.77593,            0.018008,           0.0046174,                   0,            0.005776,            0.005776,            0.005776
                  34,            0.022195,           0.0099207,                   0,             0.99754,             0.96226,             0.97774,             0.77183,            0.018121,           0.0044554,                   0,            0.005644,            0.005644,            0.005644
                  35,            0.022033,            0.010369,                   0,             0.97412,              0.9434,             0.94594,             0.79854,            0.017083,           0.0045703,                   0,            0.005512,            0.005512,            0.005512
                  36,            0.021725,           0.0095702,                   0,             0.97795,              0.9434,             0.95614,             0.76376,            0.019276,           0.0045821,                   0,             0.00538,             0.00538,             0.00538
                  37,            0.021559,            0.010289,                   0,             0.99359,             0.96226,             0.97907,             0.80416,            0.017515,           0.0041476,                   0,            0.005248,            0.005248,            0.005248
                  38,            0.020535,           0.0096584,                   0,             0.97524,              0.9434,             0.96074,             0.78518,            0.016898,           0.0044409,                   0,            0.005116,            0.005116,            0.005116
                  39,             0.02105,           0.0092872,                   0,             0.97707,              0.9434,             0.96074,             0.81188,            0.016011,           0.0045949,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.019745,           0.0098305,                   0,             0.95856,             0.96226,             0.97224,             0.79986,             0.01808,           0.0047019,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.019798,           0.0093054,                   0,             0.99577,              0.9434,             0.97681,             0.79275,              0.0178,           0.0047597,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.019879,           0.0088967,                   0,             0.99719,              0.9434,             0.97889,              0.8059,            0.015501,           0.0045943,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.019837,           0.0090426,                   0,             0.99508,              0.9434,             0.98299,              0.8006,            0.015002,           0.0045071,                   0,            0.004456,            0.004456,            0.004456
                  44,             0.01948,           0.0091513,                   0,             0.92707,             0.95939,              0.9637,             0.81524,            0.014742,           0.0044525,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.018941,           0.0093032,                   0,             0.99485,              0.9434,             0.98387,             0.82009,            0.015711,           0.0046337,                   0,            0.004192,            0.004192,            0.004192
                  46,             0.01841,           0.0087779,                   0,             0.96145,             0.94107,             0.96504,             0.81204,            0.016353,           0.0045033,                   0,             0.00406,             0.00406,             0.00406
                  47,            0.017392,           0.0084347,                   0,              0.9778,             0.92453,             0.96913,             0.81741,             0.01584,           0.0046071,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.017238,           0.0089083,                   0,             0.98037,              0.9423,              0.9469,             0.80379,            0.015385,           0.0047846,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.016721,           0.0082809,                   0,             0.95999,              0.9434,             0.94533,             0.80078,            0.015834,           0.0048597,                   0,            0.003664,            0.003664,            0.003664
                  50,            0.017382,           0.0086197,                   0,             0.96152,             0.94288,             0.94691,             0.79602,            0.016218,           0.0049452,                   0,            0.003532,            0.003532,            0.003532
                  51,            0.017138,           0.0085157,                   0,             0.98035,              0.9412,             0.95631,             0.82585,            0.014738,           0.0048262,                   0,              0.0034,              0.0034,              0.0034
                  52,            0.017012,           0.0085317,                   0,             0.98006,              0.9434,             0.98362,             0.83467,            0.014049,           0.0045134,                   0,            0.003268,            0.003268,            0.003268
                  53,            0.016804,           0.0083043,                   0,             0.97923,              0.9434,             0.98185,             0.80945,            0.015401,            0.004629,                   0,            0.003136,            0.003136,            0.003136
                  54,            0.016372,           0.0081726,                   0,              0.9797,              0.9434,             0.98214,             0.81637,            0.014636,           0.0046269,                   0,            0.003004,            0.003004,            0.003004
                  55,            0.016236,            0.008183,                   0,             0.97679,              0.9434,             0.96435,             0.78535,            0.016512,           0.0049501,                   0,            0.002872,            0.002872,            0.002872
                  56,            0.016228,           0.0082367,                   0,             0.98039,             0.94329,             0.96204,              0.8095,            0.015092,           0.0048966,                   0,             0.00274,             0.00274,             0.00274
                  57,            0.015103,           0.0077648,                   0,             0.97949,              0.9434,             0.95955,             0.80526,            0.015053,           0.0047912,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.015583,           0.0078786,                   0,             0.97986,              0.9434,             0.96352,             0.81763,            0.015391,           0.0047456,                   0,            0.002476,            0.002476,            0.002476
                  59,            0.015324,           0.0080578,                   0,             0.98036,             0.94207,             0.95821,             0.81741,            0.014984,           0.0046899,                   0,            0.002344,            0.002344,            0.002344
                  60,             0.01519,           0.0081641,                   0,             0.97907,              0.9434,             0.95545,             0.82795,            0.014099,           0.0047585,                   0,            0.002212,            0.002212,            0.002212
                  61,            0.014925,           0.0083137,                   0,             0.97796,              0.9434,             0.96279,             0.81767,            0.014325,            0.004896,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.014702,           0.0081532,                   0,              0.9798,              0.9434,             0.95661,             0.83033,            0.014173,           0.0048349,                   0,            0.001948,            0.001948,            0.001948
                  63,            0.015217,           0.0082402,                   0,             0.97998,              0.9434,             0.95724,             0.84319,            0.013606,           0.0047589,                   0,            0.001816,            0.001816,            0.001816
                  64,            0.014775,           0.0078688,                   0,             0.97911,              0.9434,             0.95423,             0.83353,            0.013482,           0.0047241,                   0,            0.001684,            0.001684,            0.001684
                  65,            0.014141,           0.0071927,                   0,             0.97866,              0.9434,             0.95501,             0.84094,            0.013686,           0.0047092,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.014236,           0.0077451,                   0,             0.97878,              0.9434,             0.96509,              0.8557,            0.013426,           0.0047431,                   0,             0.00142,             0.00142,             0.00142
                  67,             0.01409,           0.0076724,                   0,             0.97858,              0.9434,             0.95696,             0.84831,            0.012995,           0.0047113,                   0,            0.001288,            0.001288,            0.001288
                  68,            0.014291,           0.0076198,                   0,             0.97875,              0.9434,             0.95598,             0.85509,            0.013155,           0.0047389,                   0,            0.001156,            0.001156,            0.001156
                  69,             0.01343,           0.0072094,                   0,             0.97975,              0.9434,             0.95525,             0.84242,            0.013796,           0.0048885,                   0,            0.001024,            0.001024,            0.001024
                  70,            0.014552,           0.0079501,                   0,             0.98018,              0.9434,             0.95325,             0.84343,               0.014,           0.0049857,                   0,            0.000892,            0.000892,            0.000892
                  71,            0.013151,           0.0073609,                   0,             0.98038,             0.94276,             0.96306,              0.8518,            0.013657,           0.0049549,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.013167,           0.0075962,                   0,             0.98038,             0.94263,             0.96146,             0.85171,            0.013695,           0.0049275,                   0,            0.000628,            0.000628,            0.000628
