               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096203,            0.023702,                   0,             0.29768,             0.24797,             0.21108,            0.061608,            0.060272,            0.011167,                   0,            0.070732,            0.003252,            0.003252
                   1,            0.072422,            0.026688,                   0,             0.39838,             0.37736,             0.36358,             0.12505,            0.053068,           0.0098721,                   0,            0.040667,           0.0065202,           0.0065202
                   2,            0.070902,            0.023343,                   0,             0.26146,             0.45283,             0.30867,            0.079256,            0.063959,           0.0074334,                   0,            0.010535,           0.0097223,           0.0097223
                   3,            0.064657,            0.022741,                   0,             0.53391,              0.4539,             0.52699,             0.21361,            0.049652,           0.0077015,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.056718,            0.023222,                   0,             0.83142,             0.74455,             0.84074,              0.4155,            0.040227,            0.007091,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.050737,            0.020492,                   0,             0.80848,             0.81132,             0.87299,             0.41315,            0.046891,           0.0059378,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.048344,            0.018535,                   0,             0.87574,             0.88679,             0.89645,             0.46328,            0.034246,           0.0053589,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.044543,            0.017691,                   0,             0.73474,             0.88848,             0.78984,             0.43878,            0.035767,           0.0052831,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041405,            0.016802,                   0,             0.92282,             0.90245,             0.95201,             0.60356,            0.027555,           0.0051599,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.038277,            0.016049,                   0,             0.94534,             0.97902,             0.97031,             0.69157,            0.027981,           0.0048221,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.036943,            0.014864,                   0,             0.97641,              0.9434,             0.95955,             0.70403,            0.028596,           0.0046651,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.035967,            0.013567,                   0,             0.94172,              0.9434,             0.95459,             0.60762,            0.026611,           0.0049513,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034347,            0.013598,                   0,             0.99572,              0.9434,             0.96758,             0.69679,            0.023356,           0.0047543,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033689,            0.013512,                   0,             0.97765,              0.9434,             0.97013,             0.55815,            0.026946,           0.0048885,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033321,            0.012917,                   0,             0.97487,              0.9434,             0.96773,             0.65831,            0.025149,           0.0046582,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032173,            0.012905,                   0,             0.99585,              0.9434,             0.96248,             0.62266,            0.023344,           0.0046591,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.030483,            0.012271,                   0,             0.94417,             0.95739,             0.96222,             0.65945,            0.025117,           0.0047429,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.029623,            0.011943,                   0,             0.97337,              0.9434,             0.95727,             0.73794,             0.02009,           0.0045162,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.02856,             0.01245,                   0,               0.961,             0.96226,             0.97879,             0.70647,            0.020542,           0.0046898,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.028247,            0.012375,                   0,             0.97805,              0.9434,             0.95689,             0.76419,            0.019231,           0.0046865,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.027739,            0.011976,                   0,              0.9914,              0.9434,             0.95849,             0.73422,            0.021616,           0.0044324,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.028181,            0.012409,                   0,             0.97689,              0.9434,              0.9578,             0.74183,            0.022501,           0.0046299,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.026846,            0.011273,                   0,             0.97817,              0.9434,             0.95889,             0.68536,            0.023872,           0.0045965,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.02658,            0.010895,                   0,             0.99276,             0.96226,             0.98032,             0.74813,             0.01977,           0.0045966,                   0,            0.007822,            0.007822,            0.007822
