               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10938,            0.020506,                   0,             0.20701,             0.22658,             0.13088,            0.025504,            0.066476,            0.011481,                   0,            0.070732,            0.003252,            0.003252
                   1,            0.080537,            0.026748,                   0,             0.22491,              0.4717,             0.19084,            0.058951,            0.060132,            0.010607,                   0,            0.040645,           0.0064984,           0.0064984
                   2,            0.073095,            0.025073,                   0,             0.17713,             0.37736,             0.15769,             0.05624,            0.063307,            0.010141,                   0,             0.01047,           0.0096568,           0.0096568
                   3,            0.066405,            0.024177,                   0,             0.53604,             0.58863,             0.56393,             0.15417,            0.048096,           0.0086659,                   0,            0.009604,            0.009604,            0.009604
                   4,            0.060202,            0.023629,                   0,             0.60419,              0.5283,             0.56277,             0.23532,            0.044857,           0.0073293,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.054995,            0.021599,                   0,             0.80629,             0.73585,              0.8471,             0.37513,            0.035983,           0.0068839,                   0,            0.009472,            0.009472,            0.009472
                   6,            0.048738,            0.020258,                   0,             0.74411,             0.84906,             0.78941,             0.36496,              0.0367,           0.0065272,                   0,             0.00934,             0.00934,             0.00934
                   7,            0.048234,            0.019082,                   0,             0.83772,             0.87669,             0.88811,             0.44555,            0.034446,           0.0064417,                   0,            0.009208,            0.009208,            0.009208
                   8,            0.044453,            0.018306,                   0,             0.89074,             0.86792,             0.90268,             0.55834,            0.029014,           0.0063035,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.042398,            0.017805,                   0,             0.87966,             0.92453,             0.94005,             0.56431,            0.027784,           0.0059152,                   0,            0.008944,            0.008944,            0.008944
                  10,             0.03868,            0.016651,                   0,             0.86175,             0.88679,             0.90144,             0.61181,             0.02539,           0.0056275,                   0,            0.008812,            0.008812,            0.008812
                  11,             0.03731,            0.015535,                   0,             0.97009,             0.90566,             0.94317,             0.64032,            0.023653,           0.0054334,                   0,             0.00868,             0.00868,             0.00868
                  12,             0.03612,            0.015236,                   0,             0.96487,              0.9434,             0.95385,             0.58483,            0.028318,           0.0054068,                   0,            0.008548,            0.008548,            0.008548
                  13,            0.036586,             0.01531,                   0,                   1,             0.97399,             0.98633,             0.57375,            0.028222,           0.0053773,                   0,            0.008416,            0.008416,            0.008416
                  14,            0.035105,            0.014452,                   0,             0.95883,             0.90566,             0.96083,             0.60255,            0.028764,           0.0050343,                   0,            0.008284,            0.008284,            0.008284
                  15,            0.033975,             0.01434,                   0,             0.95729,             0.92453,             0.95342,             0.59961,            0.024402,           0.0055229,                   0,            0.008152,            0.008152,            0.008152
                  16,            0.031981,            0.013535,                   0,             0.96774,              0.9434,             0.95616,              0.6803,            0.025729,           0.0049365,                   0,             0.00802,             0.00802,             0.00802
                  17,            0.031582,            0.013323,                   0,             0.96049,              0.9434,             0.95667,              0.7286,            0.021399,            0.004877,                   0,            0.007888,            0.007888,            0.007888
                  18,            0.029508,            0.013643,                   0,             0.98029,             0.93848,             0.96185,             0.66297,            0.026055,           0.0048438,                   0,            0.007756,            0.007756,            0.007756
                  19,             0.03113,            0.013597,                   0,             0.97892,              0.9434,             0.96794,             0.67748,            0.022255,           0.0049379,                   0,            0.007624,            0.007624,            0.007624
                  20,            0.029493,            0.013197,                   0,             0.98037,             0.94236,              0.9607,             0.68438,            0.023285,           0.0047944,                   0,            0.007492,            0.007492,            0.007492
                  21,            0.029902,            0.013636,                   0,              0.9733,              0.9434,             0.95511,             0.70907,            0.021614,           0.0048502,                   0,             0.00736,             0.00736,             0.00736
                  22,            0.028904,            0.012411,                   0,             0.97249,              0.9434,             0.95553,             0.69913,            0.021256,           0.0047545,                   0,            0.007228,            0.007228,            0.007228
                  23,            0.027615,            0.011857,                   0,              0.9767,              0.9434,              0.9662,             0.72691,            0.020236,           0.0049894,                   0,            0.007096,            0.007096,            0.007096
                  24,            0.026486,            0.012093,                   0,             0.98019,             0.93388,             0.97116,             0.74802,            0.019271,           0.0049448,                   0,            0.006964,            0.006964,            0.006964
                  25,            0.027419,            0.012072,                   0,             0.97725,              0.9434,             0.96717,             0.75079,            0.020761,           0.0049713,                   0,            0.006832,            0.006832,            0.006832
                  26,            0.026251,            0.011518,                   0,             0.98034,             0.94087,             0.94714,             0.73141,            0.019605,           0.0047854,                   0,              0.0067,              0.0067,              0.0067
                  27,            0.025458,            0.011426,                   0,             0.98038,             0.94291,              0.9529,             0.74408,            0.020426,           0.0047396,                   0,            0.006568,            0.006568,            0.006568
                  28,            0.026954,               0.012,                   0,                   1,             0.94134,             0.94915,              0.6551,            0.023438,           0.0046088,                   0,            0.006436,            0.006436,            0.006436
                  29,            0.026111,            0.012092,                   0,             0.97797,              0.9434,              0.9498,             0.72751,            0.020204,           0.0045951,                   0,            0.006304,            0.006304,            0.006304
                  30,            0.025229,             0.01178,                   0,             0.99393,              0.9434,             0.96477,             0.75271,             0.01906,           0.0044439,                   0,            0.006172,            0.006172,            0.006172
                  31,            0.025226,            0.011327,                   0,             0.97934,              0.9434,             0.96275,             0.75876,            0.018714,           0.0046487,                   0,             0.00604,             0.00604,             0.00604
                  32,            0.023406,            0.011152,                   0,             0.97658,              0.9434,             0.95732,              0.7437,              0.0212,           0.0047247,                   0,            0.005908,            0.005908,            0.005908
                  33,            0.023123,            0.011029,                   0,             0.99033,              0.9434,             0.95475,             0.73843,             0.01932,           0.0046144,                   0,            0.005776,            0.005776,            0.005776
                  34,            0.024996,            0.011075,                   0,             0.98269,              0.9434,             0.95324,             0.76779,            0.017764,           0.0044238,                   0,            0.005644,            0.005644,            0.005644
                  35,            0.023235,            0.011551,                   0,             0.97696,              0.9434,             0.94771,             0.73264,            0.019653,           0.0047467,                   0,            0.005512,            0.005512,            0.005512
                  36,            0.023412,            0.010477,                   0,             0.97714,              0.9434,             0.94799,             0.76838,            0.018252,           0.0044615,                   0,             0.00538,             0.00538,             0.00538
                  37,             0.02293,            0.011323,                   0,             0.97557,              0.9434,             0.94572,             0.78363,            0.018746,           0.0043852,                   0,            0.005248,            0.005248,            0.005248
                  38,            0.022555,            0.010829,                   0,              0.9973,             0.96226,             0.98092,             0.76601,            0.017963,           0.0043924,                   0,            0.005116,            0.005116,            0.005116
                  39,            0.022861,            0.010335,                   0,             0.97761,              0.9434,             0.95676,             0.76492,            0.018753,           0.0045227,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.022196,            0.011102,                   0,             0.97572,              0.9434,             0.94508,              0.7838,            0.016937,           0.0043925,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.021503,            0.010321,                   0,             0.95438,              0.9434,             0.95048,              0.7916,             0.01693,           0.0045418,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.021287,            0.010124,                   0,              0.9732,              0.9434,             0.95829,             0.79126,            0.016288,           0.0044074,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.021176,            0.010282,                   0,             0.97677,              0.9434,             0.95191,             0.78363,            0.016948,           0.0043623,                   0,            0.004456,            0.004456,            0.004456
                  44,            0.021306,            0.010353,                   0,             0.97609,             0.96226,              0.9828,             0.77247,            0.018016,           0.0045915,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.021186,            0.010526,                   0,             0.97443,              0.9434,             0.96802,              0.8094,            0.015822,           0.0045556,                   0,            0.004192,            0.004192,            0.004192
                  46,            0.019597,           0.0099202,                   0,             0.98645,              0.9434,             0.95999,             0.78431,             0.01679,           0.0045086,                   0,             0.00406,             0.00406,             0.00406
                  47,             0.01957,           0.0098614,                   0,             0.97841,              0.9434,             0.96379,             0.81494,            0.015786,           0.0042112,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.019336,            0.010438,                   0,             0.97825,              0.9434,              0.9714,             0.79916,            0.016313,           0.0043614,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.018393,           0.0096588,                   0,             0.99694,             0.96226,             0.98438,             0.82214,            0.015133,           0.0042609,                   0,            0.003664,            0.003664,            0.003664
                  50,            0.019201,            0.010041,                   0,             0.97817,              0.9434,             0.96576,              0.8078,            0.015888,           0.0043983,                   0,            0.003532,            0.003532,            0.003532
                  51,            0.019053,           0.0096952,                   0,             0.97674,              0.9434,             0.96274,             0.82999,            0.015148,           0.0044853,                   0,              0.0034,              0.0034,              0.0034
                  52,            0.018988,           0.0097685,                   0,                   1,             0.95869,             0.98188,             0.82402,            0.014735,           0.0045595,                   0,            0.003268,            0.003268,            0.003268
                  53,            0.018072,           0.0093346,                   0,             0.97806,              0.9434,             0.95844,             0.82103,            0.015438,           0.0045876,                   0,            0.003136,            0.003136,            0.003136
                  54,            0.018123,           0.0093834,                   0,             0.99826,             0.96226,             0.98691,             0.82283,            0.015245,           0.0046204,                   0,            0.003004,            0.003004,            0.003004
                  55,            0.017791,            0.009342,                   0,             0.97639,              0.9434,             0.96019,             0.82474,            0.014716,           0.0045705,                   0,            0.002872,            0.002872,            0.002872
                  56,            0.017891,            0.009424,                   0,             0.98013,              0.9434,             0.95752,             0.81061,            0.014939,           0.0047545,                   0,             0.00274,             0.00274,             0.00274
                  57,            0.016502,           0.0088536,                   0,             0.99859,             0.96226,             0.98036,             0.81041,            0.015188,           0.0046839,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.017301,           0.0090038,                   0,             0.99816,              0.9434,             0.98062,             0.79661,            0.015081,           0.0046906,                   0,            0.002476,            0.002476,            0.002476
                  59,            0.017004,           0.0090775,                   0,             0.99982,              0.9434,             0.98139,             0.81676,            0.014437,           0.0046614,                   0,            0.002344,            0.002344,            0.002344
                  60,             0.01701,           0.0091478,                   0,             0.97849,              0.9434,             0.95729,             0.82397,            0.013981,           0.0046785,                   0,            0.002212,            0.002212,            0.002212
                  61,            0.016806,           0.0095801,                   0,             0.97699,              0.9434,             0.96177,              0.8312,            0.014094,           0.0045949,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.016844,           0.0095164,                   0,             0.97701,              0.9434,             0.96283,             0.82862,            0.014007,           0.0045906,                   0,            0.001948,            0.001948,            0.001948
                  63,            0.017271,           0.0096302,                   0,             0.97797,              0.9434,             0.95539,             0.81095,            0.014339,           0.0045964,                   0,            0.001816,            0.001816,            0.001816
                  64,            0.016817,           0.0091027,                   0,             0.97673,              0.9434,             0.96406,              0.8135,            0.014468,           0.0045912,                   0,            0.001684,            0.001684,            0.001684
                  65,            0.015781,           0.0084188,                   0,             0.97446,              0.9434,             0.95769,             0.83465,            0.014484,           0.0045424,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.016477,           0.0091133,                   0,             0.97621,              0.9434,             0.95765,             0.84109,            0.014035,           0.0045286,                   0,             0.00142,             0.00142,             0.00142
                  67,            0.015967,            0.008937,                   0,             0.97642,              0.9434,             0.95697,             0.83624,            0.013917,           0.0046141,                   0,            0.001288,            0.001288,            0.001288
                  68,            0.016536,           0.0089448,                   0,             0.98038,             0.94283,             0.96589,             0.81799,            0.014352,           0.0047786,                   0,            0.001156,            0.001156,            0.001156
                  69,            0.015493,            0.008397,                   0,             0.97689,              0.9434,             0.95388,             0.81867,            0.014617,           0.0047244,                   0,            0.001024,            0.001024,            0.001024
                  70,            0.016596,           0.0091892,                   0,             0.97718,              0.9434,             0.95514,             0.81702,            0.014238,           0.0046437,                   0,            0.000892,            0.000892,            0.000892
                  71,            0.015282,            0.008546,                   0,             0.97395,              0.9434,             0.95597,             0.81765,            0.014612,           0.0045421,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.015314,           0.0088401,                   0,             0.97473,              0.9434,              0.9568,             0.82223,              0.0142,           0.0045394,                   0,            0.000628,            0.000628,            0.000628
                  73,            0.015246,           0.0088117,                   0,             0.97241,              0.9434,             0.95678,             0.83602,            0.014286,           0.0044889,                   0,            0.000496,            0.000496,            0.000496
                  74,             0.01536,           0.0083134,                   0,             0.97496,              0.9434,             0.95547,             0.83927,            0.014076,            0.004457,                   0,            0.000364,            0.000364,            0.000364
